id_cliente,nome_cliente,segmento,uf
1,Araújo Moraes S/A,Bebidas,CE
2,Peixoto S/A,Varejo/Atacado,RO
3,Guerra Campos - EI,Mineração,ES
4,Pinto S/A,Varejo/Atacado,PA
5,da Luz,Bebidas,DF
6,da Costa,Agronegócio,GO
7,Cardoso,Bebidas,RO
8,Marques,Varejo/Atacado,MT
9,Albuquerque - ME,Mineração,RN
10,Barbosa - EI,Varejo/Atacado,DF
11,Cardoso,Bebidas,MS
12,da Cruz Ltda.,Construção Civil,MA
13,Macedo Nogueira e Filhos,Varejo/Atacado,MA
14,Rios - EI,Construção Civil,MA
15,Carvalho Ltda.,Bebidas,AM
16,Souza - EI,Varejo/Atacado,BA
17,da Paz,Mineração,RN
18,Silva Fernandes S.A.,Indústria,RO
19,Montenegro,Indústria,PR
20,Aragão,Construção Civil,AP
21,da Mota,Bebidas,AL
22,Farias S.A.,Construção Civil,RS
23,Castro,Bebidas,SC
24,Novaes,Bebidas,RR
25,Novais,Indústria,AC
26,Barbosa e Filhos,Mineração,BA
27,Freitas - EI,Mineração,PI
28,Lopes Cardoso S/A,Varejo/Atacado,MA
29,Vieira,Construção Civil,AL
30,Costela,Mineração,RO
