id_custo,id_data,id_filial,categoria_custo,valor
1,20240101,1,Combustível,1846.66
2,20240101,1,Manutenção,618.81
3,20240101,1,Pedágio,388.6
4,20240101,1,Motorista (Salário/Diária),536.36
5,20240101,1,Seguro,157.07
6,20240101,1,Outros,118.35
7,20240101,2,Combustível,177.81
8,20240101,2,Manutenção,82.14
9,20240101,2,Pedágio,40.85
10,20240101,2,Motorista (Salário/Diária),66.21
11,20240101,2,Seguro,18.23
12,20240101,2,Outros,12.57
13,20240101,5,Combustível,6145.22
14,20240101,5,Manutenção,2274.74
15,20240101,5,Pedágio,1174.47
16,20240101,5,Motorista (Salário/Diária),1947.68
17,20240101,5,Seguro,541.95
18,20240101,5,Outros,358.18
19,20240102,2,Combustível,2506.66
20,20240102,2,Manutenção,1333.15
21,20240102,2,Pedágio,640.26
22,20240102,2,Motorista (Salário/Diária),996.21
23,20240102,2,Seguro,276.0
24,20240102,2,Outros,192.49
25,20240102,3,Combustível,1066.94
26,20240102,3,Manutenção,503.71
27,20240102,3,Pedágio,212.89
28,20240102,3,Motorista (Salário/Diária),390.55
29,20240102,3,Seguro,118.34
30,20240102,3,Outros,60.33
31,20240102,4,Combustível,2235.31
32,20240102,4,Manutenção,940.02
33,20240102,4,Pedágio,565.63
34,20240102,4,Motorista (Salário/Diária),871.09
35,20240102,4,Seguro,288.28
36,20240102,4,Outros,130.16
37,20240102,5,Combustível,3500.74
38,20240102,5,Manutenção,1581.34
39,20240102,5,Pedágio,649.1
40,20240102,5,Motorista (Salário/Diária),1025.32
41,20240102,5,Seguro,377.36
42,20240102,5,Outros,234.68
43,20240103,1,Combustível,4777.02
44,20240103,1,Manutenção,2007.82
45,20240103,1,Pedágio,1101.01
46,20240103,1,Motorista (Salário/Diária),1819.34
47,20240103,1,Seguro,559.72
48,20240103,1,Outros,357.48
49,20240103,2,Combustível,182.79
50,20240103,2,Manutenção,97.31
51,20240103,2,Pedágio,41.28
52,20240103,2,Motorista (Salário/Diária),79.91
53,20240103,2,Seguro,19.46
54,20240103,2,Outros,11.75
55,20240103,3,Combustível,2937.54
56,20240103,3,Manutenção,1466.55
57,20240103,3,Pedágio,619.08
58,20240103,3,Motorista (Salário/Diária),1190.67
59,20240103,3,Seguro,295.64
60,20240103,3,Outros,204.26
61,20240103,4,Combustível,1034.06
62,20240103,4,Manutenção,399.3
63,20240103,4,Pedágio,213.27
64,20240103,4,Motorista (Salário/Diária),370.38
65,20240103,4,Seguro,100.79
66,20240103,4,Outros,77.03
67,20240103,5,Combustível,5567.38
68,20240103,5,Manutenção,2324.11
69,20240103,5,Pedágio,1056.27
70,20240103,5,Motorista (Salário/Diária),1876.57
71,20240103,5,Seguro,636.39
72,20240103,5,Outros,322.86
73,20240104,1,Combustível,2727.01
74,20240104,1,Manutenção,1046.2
75,20240104,1,Pedágio,559.45
76,20240104,1,Motorista (Salário/Diária),801.3
77,20240104,1,Seguro,287.42
78,20240104,1,Outros,157.91
79,20240104,3,Combustível,1906.11
80,20240104,3,Manutenção,789.6
81,20240104,3,Pedágio,348.74
82,20240104,3,Motorista (Salário/Diária),727.62
83,20240104,3,Seguro,163.07
84,20240104,3,Outros,103.12
85,20240104,4,Combustível,3340.33
86,20240104,4,Manutenção,1778.23
87,20240104,4,Pedágio,899.71
88,20240104,4,Motorista (Salário/Diária),1579.67
89,20240104,4,Seguro,372.11
90,20240104,4,Outros,250.4
91,20240104,5,Combustível,5385.23
92,20240104,5,Manutenção,2325.71
93,20240104,5,Pedágio,1214.15
94,20240104,5,Motorista (Salário/Diária),2525.16
95,20240104,5,Seguro,595.22
96,20240104,5,Outros,342.98
97,20240105,1,Combustível,4969.28
98,20240105,1,Manutenção,1954.62
99,20240105,1,Pedágio,1084.05
100,20240105,1,Motorista (Salário/Diária),1639.59
101,20240105,1,Seguro,516.23
102,20240105,1,Outros,288.91
103,20240105,2,Combustível,4577.36
104,20240105,2,Manutenção,2286.65
105,20240105,2,Pedágio,1040.38
106,20240105,2,Motorista (Salário/Diária),1763.67
107,20240105,2,Seguro,499.45
108,20240105,2,Outros,293.0
109,20240105,3,Combustível,1751.03
110,20240105,3,Manutenção,982.77
111,20240105,3,Pedágio,459.97
112,20240105,3,Motorista (Salário/Diária),709.83
113,20240105,3,Seguro,199.5
114,20240105,3,Outros,130.15
115,20240105,5,Combustível,799.49
116,20240105,5,Manutenção,405.16
117,20240105,5,Pedágio,192.37
118,20240105,5,Motorista (Salário/Diária),334.12
119,20240105,5,Seguro,91.9
120,20240105,5,Outros,51.56
121,20240106,1,Combustível,1298.99
122,20240106,1,Manutenção,575.22
123,20240106,1,Pedágio,280.18
124,20240106,1,Motorista (Salário/Diária),563.31
