ano,mes,id_filial,receita_orcada,receita_real,custo_orcado,custo_real
2024,1,1,265384.12,247451.31,203554.55,198936.15
2024,1,2,85091.9,84519.01,73616.92,71620.72
2024,1,3,155295.96,159482.79,126837.04,126368.84
2024,1,4,128864.2,139629.01,115122.48,110776.0
2024,1,5,323021.07,299345.87,233436.43,236051.44
2024,2,1,374833.42,376130.71,290712.39,298682.27
2024,2,2,98625.66,101096.49,82957.81,81614.63
2024,2,3,204119.19,216220.55,156780.51,175912.94
2024,2,4,212959.19,197305.18,163188.22,158483.47
2024,2,5,405492.81,430022.07,335265.52,338214.31
2024,3,1,344714.96,346043.73,293184.71,280036.49
2024,3,2,127038.5,134028.54,110460.2,105844.23
2024,3,3,230879.21,222341.99,167442.87,180943.76
2024,3,4,216523.84,232976.25,163482.88,182677.98
2024,3,5,436576.13,452689.56,335078.28,357963.51
2024,4,1,435976.74,438728.49,365914.55,353254.34
2024,4,2,186436.78,173908.77,132306.75,140019.68
2024,4,3,218429.17,202842.25,164294.11,162671.86
2024,4,4,299520.15,278724.25,202299.91,222799.83
2024,4,5,396519.57,435206.15,312483.53,346522.35
2024,5,1,348127.63,376630.62,286313.65,299308.73
2024,5,2,150806.44,143225.89,103762.73,111989.2
2024,5,3,155510.66,153377.29,110602.47,124845.67
2024,5,4,262666.6,287816.72,225721.17,228272.63
2024,5,5,413267.84,425633.2,328511.73,343889.65
2024,6,1,522548.99,503648.4,417921.05,410144.6
2024,6,2,171866.79,177859.37,142510.33,141429.63
2024,6,3,166806.15,181509.81,152132.12,147228.59
2024,6,4,228663.72,250565.43,182211.22,200163.37
2024,6,5,451315.57,476427.4,368765.23,384696.18
2024,7,1,408883.26,417489.81,337972.92,334786.23
2024,7,2,160880.39,149178.65,125790.03,121144.16
2024,7,3,305081.84,294431.08,206882.96,232249.78
2024,7,4,252405.75,267461.52,208610.54,218519.43
2024,7,5,543829.21,572051.55,420857.64,448544.8
2024,8,1,424374.49,393867.37,329392.03,313861.33
2024,8,2,202548.77,207216.12,169483.91,166494.29
2024,8,3,240730.47,237728.99,186397.58,191233.51
2024,8,4,231063.89,243009.25,187504.81,197133.47
2024,8,5,498641.12,492771.53,372120.53,389647.21
2024,9,1,472931.92,464440.88,371537.72,367998.48
2024,9,2,185565.3,182226.99,134131.9,145035.59
2024,9,3,233198.46,230007.45,164119.96,178843.01
2024,9,4,310374.01,291811.18,215059.06,231994.72
2024,9,5,539745.71,517107.19,392895.83,404840.67
2024,10,1,554734.37,615414.35,499981.06,484925.53
2024,10,2,137008.08,145249.33,119812.56,117070.16
2024,10,3,272300.88,301403.91,213099.12,238317.45
2024,10,4,312748.02,322781.69,249795.06,260645.27
2024,10,5,644367.08,619609.5,523104.86,506683.21
2024,11,1,389901.22,429191.85,333103.97,339332.15
2024,11,2,124945.78,115757.31,81787.61,92740.58
2024,11,3,185834.67,202344.95,154510.11,160099.03
2024,11,4,325084.41,317324.74,256722.5,260215.67
2024,11,5,551862.13,562738.63,435823.07,453429.38
2024,12,1,363183.51,338446.05,282252.51,270125.63
2024,12,2,98098.54,101880.57,72295.74,81947.71
2024,12,3,142877.4,141129.54,119764.44,116605.43
2024,12,4,146672.83,151094.62,114193.69,121137.86
2024,12,5,335010.64,354751.38,290849.53,280375.39
2025,1,1,345413.06,351809.77,269838.43,276901.71
2025,1,2,65289.09,62167.12,45311.83,49843.23
2025,1,3,179716.76,169894.73,120931.76,134538.7
2025,1,4,124045.84,125272.83,103755.23,100435.89
2025,1,5,515992.26,530022.92,381282.36,429518.3
2025,2,1,400414.51,392646.86,319026.73,316554.79
2025,2,2,154637.56,143260.04,119707.42,115656.7
2025,2,3,245306.3,233786.98,171369.19,186253.56
2025,2,4,295577.0,285531.45,215530.54,231868.16
2025,2,5,477690.28,472034.45,385457.19,376195.96
2025,3,1,444284.83,455868.5,372686.19,356413.44
2025,3,2,200530.39,212893.85,154464.76,171731.98
2025,3,3,303089.21,281420.31,194457.45,220925.39
2025,3,4,253316.21,241932.29,175181.86,192575.02
2025,3,5,441664.89,474305.86,341829.25,383003.45
2025,4,1,451758.45,446194.14,348671.25,357364.66
2025,4,2,176827.84,191767.26,134079.53,150289.59
2025,4,3,254044.65,268335.59,186607.45,211040.97
2025,4,4,263673.6,256002.27,211644.36,205508.47
2025,4,5,527424.79,549091.42,447969.92,431495.82
2025,5,1,451401.4,457207.17,339253.4,374745.19
2025,5,2,182087.93,188147.39,148158.84,152790.9
2025,5,3,242130.9,238146.57,195001.14,187142.27
2025,5,4,305872.6,323359.22,265989.95,256100.2
2025,5,5,475529.74,450119.65,339445.39,354341.61
2025,6,1,503586.6,499748.72,404776.48,402342.96
2025,6,2,212878.22,204846.28,155261.74,158191.05
2025,6,3,292983.48,321081.87,255397.24,258979.55
2025,6,4,338912.87,359000.21,276448.06,287133.87
2025,6,5,611716.56,650988.99,480431.53,528180.64
2025,7,1,544910.41,600982.4,468494.4,492548.91
2025,7,2,137920.63,149721.94,111567.55,121142.34
2025,7,3,232211.86,246967.68,194929.49,199720.22
2025,7,4,338245.19,323182.52,266201.37,257073.99
2025,7,5,765420.66,744038.08,552534.55,602078.41
2025,8,1,291989.56,286255.7,229029.3,221629.09
2025,8,2,109210.38,110979.11,95121.92,92055.91
2025,8,3,172583.18,159944.65,111068.11,125917.6
2025,8,4,170669.51,175700.39,139910.72,137473.51
2025,8,5,278240.84,275355.95,201622.28,221822.12
