id_viagem,id_data,id_veiculo,id_motorista,id_cliente,id_rota,id_filial,peso_ton,valor_frete,km_rodado,tempo_previsto_h,tempo_realizado_h,status_entrega,ocorrencia
1,20240101,31,1,10,15,1,41.1,968.45,210,3.4,3.3,No Prazo,Nenhuma
2,20240101,4,2,21,1,1,5.2,2240.35,430,6.9,9.3,Atrasado,Nenhuma
3,20240101,14,17,13,1,5,4.3,2329.94,430,6.9,7.2,No Prazo,Nenhuma
4,20240101,14,37,20,10,5,4.3,5050.0,930,15.0,15.7,No Prazo,Nenhuma
5,20240101,25,29,13,5,5,12.7,7049.62,1370,22.1,22.4,No Prazo,Nenhuma
6,20240101,5,6,2,19,1,28.1,1333.56,300,4.8,6.7,Atrasado,Trânsito/Rota
7,20240101,34,25,29,17,2,5.5,463.7,100,1.6,1.6,No Prazo,Nenhuma
8,20240102,22,21,28,13,2,11.0,7826.64,1370,22.1,28.6,Atrasado,Atraso em Carga/Descarga
9,20240102,25,29,12,4,5,13.4,2954.35,550,8.9,9.1,No Prazo,Nenhuma
10,20240102,6,12,22,4,5,13.4,3021.63,550,8.9,8.5,No Prazo,Nenhuma
11,20240102,3,28,26,3,5,5.4,3035.72,590,9.5,8.8,No Prazo,Nenhuma
12,20240102,35,33,22,3,3,4.3,2780.49,590,9.5,9.0,No Prazo,Nenhuma
13,20240102,39,23,3,14,4,23.8,3331.58,800,12.9,12.6,No Prazo,Nenhuma
14,20240102,24,10,2,18,4,43.8,3226.41,550,8.9,9.2,No Prazo,Nenhuma
15,20240103,2,29,26,15,5,4.7,1212.0,210,3.4,3.5,No Prazo,Pane Mecânica
16,20240103,34,9,13,17,2,4.9,565.51,100,1.6,2.0,Atrasado,Nenhuma
17,20240103,36,15,9,12,1,4.8,2895.79,590,9.5,12.8,Atrasado,Trânsito/Rota
18,20240103,28,11,4,14,1,55.2,4786.67,800,12.9,16.7,Atrasado,Nenhuma
19,20240103,11,20,26,12,3,3.8,2998.85,590,9.5,9.1,No Prazo,Nenhuma
20,20240103,19,29,8,9,5,28.9,9618.69,1960,31.6,33.0,No Prazo,Nenhuma
21,20240103,12,29,13,14,5,13.1,4085.66,800,12.9,13.5,No Prazo,Nenhuma
22,20240103,11,3,15,8,3,3.8,5250.7,930,15.0,14.3,No Prazo,Pane Mecânica
23,20240103,4,1,15,4,1,5.1,2489.3,550,8.9,9.3,No Prazo,Nenhuma
24,20240103,33,30,22,1,1,19.0,2080.76,430,6.9,9.2,Atrasado,Nenhuma
25,20240103,32,36,15,12,4,18.0,2781.26,590,9.5,12.2,Atrasado,Trânsito/Rota
26,20240104,5,6,20,19,1,28.1,1566.49,300,4.8,4.8,No Prazo,Nenhuma
27,20240104,16,10,28,3,4,5.5,3404.26,590,9.5,10.0,No Prazo,Pane Mecânica
28,20240104,41,3,17,4,3,27.3,2661.47,550,8.9,8.6,No Prazo,Trânsito/Rota
29,20240104,17,35,8,8,5,13.0,4166.37,930,15.0,15.4,No Prazo,Nenhuma
30,20240104,2,34,25,8,5,4.6,5342.27,930,15.0,15.4,No Prazo,Nenhuma
31,20240104,17,17,13,20,5,11.1,4677.79,930,15.0,15.5,No Prazo,Pane Mecânica
32,20240104,38,12,20,19,5,36.2,1687.46,300,4.8,4.8,No Prazo,Nenhuma
33,20240104,8,30,25,8,1,8.6,5144.8,930,15.0,15.4,No Prazo,Nenhuma
34,20240104,40,23,5,13,4,13.3,7267.67,1370,22.1,23.1,No Prazo,Nenhuma
35,20240104,42,17,11,17,5,5.3,514.76,100,1.6,1.6,No Prazo,Nenhuma
36,20240104,18,31,28,2,3,52.3,1697.44,410,6.6,6.3,No Prazo,Nenhuma
37,20240105,41,31,20,12,3,30.4,2935.5,590,9.5,9.2,No Prazo,Nenhuma
38,20240105,4,30,14,15,1,4.3,970.77,210,3.4,3.5,No Prazo,Atraso em Carga/Descarga
39,20240105,34,9,7,13,2,5.3,6238.82,1370,22.1,22.0,No Prazo,Nenhuma
40,20240105,4,11,4,1,1,5.0,2649.19,430,6.9,6.7,No Prazo,Nenhuma
41,20240105,33,27,23,3,1,23.8,2434.67,590,9.5,9.1,No Prazo,Atraso em Carga/Descarga
42,20240105,14,28,14,2,5,5.1,2175.37,410,6.6,6.3,No Prazo,Nenhuma
